Name:,Address:,County:,Type:,Capacity,Status:,Closed Date:,License Number,License Status,Licensee Name,Zip,URL,,
MISS BECKIE'S DAYCARE,"308 LORENE STREET                                  WAYLAND , MI 49348
                                 Phone: (269) 838-8886",ALLEGAN,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG030398741,REGULAR,"HARWOOD, REBECCA",49348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG030398741,,
MISS BECKY'S HOUSE,"45764 DREXEL RD.                                  CANTON , MI 48187
                                 Phone: (734) 812-5784",WAYNE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG820276774,REGULAR,REBECCA RATLIFF,48187,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG820276774,,
MISS BRITNEY'S CREATIVE ARTS DAYCARE,"1100 UNDERWOOD AVE SE                                  GRAND RAPIDS , MI 49506
                                 Phone: (616) 828-3519",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410410857,ORIGINAL,"RANVILLE, BRITNEY",49506,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410410857,,
MISS CLAUDIA'S CHILDCARE,"5582 KOSTER DR SW                                  WYOMING , MI 49418
                                 Phone: (616) 862-8093",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410386201,REGULAR,"KITTINGER, CLAUDIA",49418,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410386201,,
MISS DEBBIE'S DAYCARE,"460 E. RIDGE ST                                  MARQUETTE , MI 49855
                                 Phone: (906) 360-4028",MARQUETTE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,11/5/2020,DF520402248,CLOSED,"WILLIAMS, DEBORAH",49855,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF520402248,,
MISS DEE DEE'S CHILD CARE & LEARNING CENTER,"505 E. MAPLE ROAD                                  TROY , MI 48083
                                 Phone: (248) 362-3333",OAKLAND,CHILD CARE CENTER,122,CLOSED,9/16/2021,DC630390575,CLOSED,"MISS DEE DEE'S DAYCARE, INC.",48083,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630390575,,
MISS DENISE'S DAYCARE,"5979 SIX MILE LAKE RD                                  EAST JORDAN , MI 49727
                                 Phone: (231) 497-0357",ANTRIM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,5/26/2020,DF050393336,CLOSED,"RICHARDS, DENISE",49727,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF050393336,,
MISS DENISE'S DAYCARE,"5979 6 MILE LAKE RD                                  EAST JORDAN , MI 49727
                                 Phone: (231) 497-0357",ANTRIM,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG050404004,REGULAR,"RICHARDS, DENISE",49727,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG050404004,,
MISS DONNA'S MONTESSORI,"1225 GENERAL MOTORS                                  MILFORD , MI 48381
                                 Phone: (586) 924-7220",OAKLAND,CHILD CARE CENTER,51,ACTIVE,N/A,DC630402479,REGULAR,MISS DONNA'S PRESCHOOL LLC,48381,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630402479,,
MISS JEAN'S,"1388 HAGLEY RD                                  OMER , MI 48749
                                 Phone: (989) 653-0120",ARENAC,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG060384836,REGULAR,"COOK, JEANNE",48749,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG060384836,,
MISS JENS KID CARE,"4532 SERRY DR                                  CALEDONIA , MI 49316
                                 Phone: (616) 617-6496",ALLEGAN,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG030403535,REGULAR,"RICE, JENNIFER",49316,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG030403535,,
MISS JESS'S DAYCARE,"9024 HUBBARD STREET                                  LIVONIA , MI 48150
                                 Phone: (810) 406-8187",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,4/15/2021,DF820403066,CLOSED,"KIEFER, JESSICA",48150,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820403066,,
MISS KAREN'S PLACE,"2115 WILMINGTON DRIVE                                  MIDLAND , MI 48642
                                 Phone: (989) 832-3325",MIDLAND,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,10/26/2020,DG560386520,CLOSED,"WASMER, KAREN ANN",48642,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG560386520,,
MISS KRISTALS KIDS,"4061 S MILL                                  DRYDEN , MI 48428
                                 Phone: (248) 342-7906",LAPEER,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,6/3/2020,DF440400323,CLOSED,"MANKO, KRISTAL",48428,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF440400323,,
MISS KRISTY'S DAYCARE,"11401 N. CRYSTAL ROAD                                  VESTABURG , MI 48891
                                 Phone: (616) 755-1415",MONTCALM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,8/25/2021,DF590397687,CLOSED,"DEWALD, KRISTEN",48891,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF590397687,,
MISS MADDIE'S DAYCARE,"5121 ST. CLAIR HWY                                  SAINT CLAIR , MI 48079
                                 Phone: (810) 990-9510",ST. CLAIR,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,10/25/2019,DG740397988,CLOSED,MADISON DOMBROW,48079,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG740397988,,
MISS MADDIE'S DAYCARE,"6689 FRED W MOORE HWY.                                  CHINA , MI 48054
                                 Phone: (810) 990-9510",ST. CLAIR,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,8/6/2021,DG740402119,CLOSED,MADISON DOMBROW,48054,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG740402119,,
MISS MEGAN PLACE,"521 HIDDEN CREEK TRL                                  CLIO , MI 48420
                                 Phone: (810) 275-2034",GENESEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF250399954,REGULAR,"BUETOW, MEGAN",48420,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF250399954,,
MISS MISSY'S,"5274 MULLIGAN DR SW                                  WYOMING , MI 49509
                                 Phone: (616) 307-3978",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410375613,REGULAR,"HOUSE, MELISSA",49509,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410375613,,
MISS MONA'S CHILDCARE,"862 EMERSON AVE.                                  PONTIAC , MI 48340
                                 Phone: (248) 364-4748",OAKLAND,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG630243798,REGULAR,"PERRY-LEE, RAMONA",48340,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG630243798,,
MISS PENNY'S PLACE,"12022 COYLE STREET                                  DETROIT , MI 48227
                                 Phone: (313) 272-3149",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),5,ACTIVE,N/A,DF820275333,REGULAR,"GREENLEE, PENNY L",48227,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820275333,,
MISS PENNYS,"3010 GALE RD                                  EATON RAPIDS , MI 48827
                                 Phone: (517) 712-0436",INGHAM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,10/1/2020,DF330384234,CLOSED,"SPEER, PENNY",48827,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF330384234,,
MISS RANDI'S HOUSE,"216 W. CHURCH ST.                                  CLINTON , MI 49236
                                 Phone: (517) 605-6481",LENAWEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/24/2022,DF460390560,CLOSED,"REISER, RANDI",49236,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF460390560,,
MISS ROBIN��S CHILDCARE,"13271 19 MILE RD                                  GOWEN , MI 49326
                                 Phone: (616) 990-2958",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,10/20/2021,DF410406944,CLOSED,"COON, ROBIN",49326,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410406944,,
MISS SALLY'S HOME DAYCARE,"501 SCHOOLCREST AVE                                  CLARE , MI 48617
                                 Phone: (231) 437-5599",CLARE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG180396757,REGULAR,"EBERHART, SALLY",48617,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG180396757,,
MISS SARAH'S DAYCARE,"316 N EMILY STREET                                  LUDINGTON , MI 49431
                                 Phone: (231) 233-7405",MASON,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG530407665,REGULAR,"LANDES, SARAH",49431,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG530407665,,
MISS STACEY'S,"1975 KRYS RD.                                  GAYLORD , MI 49735
                                 Phone: (989) 350-2927",OTSEGO,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF690392033,REGULAR,"GOFF, STACEY",49735,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF690392033,,
MISS STACEY'S,"1975 KRYS RD                                  GAYLORD , MI 49735
                                 Phone: (989) 350-2927",OTSEGO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,3/5/2020,DG690400230,CLOSED,"GOFF, STACEY",49735,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG690400230,,
MISS SUE'S KID ZONE CHILDREN'S CENTER,"465 E STATE RD                                  WEST BRANCH , MI 48661
                                 Phone: (989) 343-0650",OGEMAW,CHILD CARE CENTER,43,ACTIVE,N/A,DC650080254,REGULAR,MISS SUE'S KID ZONE CHILDREN'S CENTER,48661,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC650080254,,
MISS TAMMY'S DAY CARE,"320 S HOPKINS ST                                  GRAND HAVEN , MI 49417
                                 Phone: (616) 402-0366",OTTAWA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF700391674,REGULAR,"SUTTON, TAMMY",49417,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF700391674,,
MISS TERRIE'S SUNSHINE DAYCARE,"392 COPELAND ROAD                                  COLDWATER , MI 49036
                                 Phone: (517) 227-0617",BRANCH,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/31/2022,DF120407688,CLOSED,"SEVERYNS, TERRI",49036,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF120407688,,
MISS. JEANNE'S HOME DAYCARE,"238 S. GLENGARRY                                  BLOOMFIELD HILLS , MI 48301
                                 Phone: (248) 515-8467",OAKLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF630379598,REGULAR,"LUTZKY, JEANNE",48301,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF630379598,,
MISSY'S LIL CHICKS,"701 MIDLAND RD.                                  BAY CITY , MI 48706
                                 Phone: (989) 600-6035",BAY,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF090397110,REGULAR,"HARMON, MELISSA",48706,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF090397110,,
MISSY'S LITTLE LEARNERS,"46528 SCHIMMEL CT.                                  SHELBY TOWNSHIP , MI 48317
                                 Phone: (586) 524-3266",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF500409013,REGULAR,"MENDOZA, MELISSA",48317,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500409013,,
MISSYS LITTLE LEARNERS,"45871 WAKEFIELD STREET                                  SHELBY TWP. , MI 48317
                                 Phone: (586) 524-3266",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/14/2021,DF500337788,CLOSED,"MENDOZA, MELISSA",48317,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500337788,,
MISTER MCGREGOR'S GARDEN,"510 MCCLELLAN AVENUE                                  MARQUETTE , MI 49855-3934
                                 Phone: (906) 226-6101",MARQUETTE,CHILD CARE CENTER,76,ACTIVE,N/A,DC520017470,REGULAR,MISTER MCGREGOR'S GARDEN INC.,49855-3934,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC520017470,,
MISTER MCGREGOR'S GARDEN,"1910 WERNER ST                                  MARQUETTE , MI 49855-3124
                                 Phone: (906) 228-6230",MARQUETTE,CHILD CARE CENTER,72,CLOSED,11/10/2020,DC520088202,CLOSED,MISTER MCGREGOR'S GARDEN INC.,49855-3124,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC520088202,,
MISTI HARING,"9975 S. HARRISON AVENUE                                  FARWELL , MI 48622
                                 Phone: (989) 386-0142",CLARE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG180085765,REGULAR,MISTI HARING,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG180085765,,
MILESTONES EARLY LEARNING - WILSON,"4075 64TH STREET                                  WYOMING , MI 49418
                                 Phone: (616) 202-7896",KENT,CHILD CARE CENTER,180,ACTIVE,N/A,DC410408025,REGULAR,"MILESTONES CHILD DEVELOPMENT CENTER, LLC",49418,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410408025,,
MITCHELL DELLA,"106 W TAWAS LAKE RD                                  EAST TAWAS , MI 48730
                                 Phone: (989) 362-8115",IOSCO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG350094541,REGULAR,MITCHELL DELLA,48730,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG350094541,,
MITCHELL ESP AND PRESCHOOL,"3550 PITTSVIEW DR                                  ANN ARBOR , MI 48104
                                 Phone: (734) 994-2300",WASHTENAW,CHILD CARE CENTER,100,ACTIVE,N/A,DC810018882,REGULAR,ANN ARBOR PUBLIC SCHOOLS COMM EDUC & RECREATION,48104,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC810018882,,
"MITCHELL, CYNTHIA","17311 FAUST                                  DETROIT , MI 48219
                                 Phone: (313) 350-2214",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/30/2020,DF820313977,CLOSED,"MITCHELL, CYNTHIA",48219,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820313977,,
MITHU HOME DAY CARE,"45027 THORNHILL COURT                                  CANTON , MI 48188
                                 Phone: (734) 788-3426",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,12/7/2021,DF820350075,CLOSED,"AROULSELVAM, VAGULA",48188,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820350075,,
MIZZ SHELIA'S LEARNING CHILD CARE,"26169 HOPKINS                                  INKSTER , MI 48141
                                 Phone: (734) 788-5687",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF820385860,REGULAR,"HENDRICKS, SHELIA",48141,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820385860,,
MJ & KIDZ,"326 NORTH CATHERINE                                  LANSING , MI 48917
                                 Phone: (517) 256-6253",INGHAM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF330411998,ORIGINAL,MADISON SIMS,48917,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF330411998,,
MLK WESTWOOD PRIME TIME,"1100 NICHOLS ROAD                                  KALAMAZOO , MI 49006
                                 Phone: (269) 337-0610",KALAMAZOO,CHILD CARE CENTER,91,ACTIVE,N/A,DC390020679,REGULAR,YMCA OF GREATER KALAMAZOO,49006,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390020679,,
MMCAA CLARE CASTLE,"144 W.  FOURTH ST                                  CLARE , MI 48617
                                 Phone: (989) 330-8803",CLARE,CHILD CARE CENTER,37,ACTIVE,N/A,DC180409186,ORIGINAL,MID MICHIGAN COMMUNITY ACTION AGENCY,48617,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180409186,,
MMCAA FARWELL PRESCHOOL,"268 E. OHIO ST.                                  FARWELL , MI 48622
                                 Phone: (989) 588-9916",CLARE,CHILD CARE CENTER,60,CLOSED,10/8/2021,DC180314320,CLOSED,MID MICHIGAN COMMUNITY ACTION AGENCY,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180314320,,
MMCAA GLADWIN ELEMENTARY,"600 W FIRST ST.                                  GLADWIN , MI 48624
                                 Phone: (989) 246-5992",GLADWIN,CHILD CARE CENTER,20,ACTIVE,N/A,DC260384023,REGULAR,MID MICHIGAN COMMUNITY ACTION AGENCY,48624,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC260384023,,
MMCAA HARRISON HILLSIDE,"201 N. 4TH  ST.                                  HARRISON , MI 48625
                                 Phone: (989) 539-6902",CLARE,CHILD CARE CENTER,18,CLOSED,5/11/2022,DC180388973,CLOSED,MID MICHIGAN COMMUNITY ACTION AGENCY,48625,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180388973,,
MMCAA HILLSIDE,"224 W. MAIN STREET                                  HARRISON , MI 48625
                                 Phone: (989) 386-0875",CLARE,CHILD CARE CENTER,20,ACTIVE,N/A,DC180410668,ORIGINAL,MID MICHIGAN COMMUNITY ACTION AGENCY,48625,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180410668,,
MOHAWK ELEMENTARY CHILD CARE,"48101 ROMEO PLANK                                  MACOMB , MI 48044
                                 Phone: (586) 723-6200",MACOMB,CHILD CARE CENTER,100,ACTIVE,N/A,DC500019528,REGULAR,CHIPPEWA VALLEY SCHOOLS,48044,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500019528,,
MOHLER RONDA,"3738 TREAT HWY.                                  ADRIAN , MI 49221
                                 Phone: (517) 263-7112",LENAWEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/23/2021,DF460261405,CLOSED,MOHLER RONDA,49221,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF460261405,,
MOLDING MINDS,"28158 HAWBERRY ROAD                                  FARMINGTON HILLS , MI 48331
                                 Phone: (443) 629-1433",OAKLAND,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,8/3/2021,DG630384156,CLOSED,"ANDERSON-REEVES, RESHUNDA",48331,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG630384156,,
MOLINE CHRISTIAN SCHOOL PRESCHOOL,"1253 144TH STREET                                  MOLINE , MI 49335
                                 Phone: (616) 877-4688",ALLEGAN,CHILD CARE CENTER,20,ACTIVE,N/A,DC030265803,REGULAR,MOLINE CHRISTIAN SCHOOL,49335,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030265803,,
MOLLY LORENZ,"241 LENORA AVE. NW                                  GRAND RAPIDS , MI 49504
                                 Phone: (616) 834-2880",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410343899,REGULAR,MOLLY LORENZ,49504,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410343899,,
MOLLY MILEWSKI,"7275 MID TIMBER DRIVE                                  GREENVILLE , MI 48838
                                 Phone: (616) 337-2457",MONTCALM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF590387030,REGULAR,MOLLY MILEWSKI,48838,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF590387030,,
MOLLY'S DAYCARE,"1375 HIGHLAND HILL DR                                  LOWELL , MI 49331
                                 Phone: (616) 292-5185",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410397177,REGULAR,"LEWIS, MOLLY",49331,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410397177,,
MOM DAYCARE,"3606 FIELDCREST LANE                                  YPSILANTI , MI 48197
                                 Phone: (734) 576-2231",WASHTENAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF810254472,REGULAR,"KHAN, NAIMA",48197,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF810254472,,
MOM SQUAD DAYCARE,"4628 MANITOU DRIVE                                  OKEMOS , MI 48864
                                 Phone: (517) 348-4567",INGHAM,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,10/26/2020,DG330381729,CLOSED,"FANN, JACQUELYN",48864,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG330381729,,
MOMENTUM ACADEMY,"60 S. LYNN AVE                                  WATERFORD , MI 48328
                                 Phone: (248) 682-5000",OAKLAND,CHILD CARE CENTER,42,ACTIVE,N/A,DC630395811,REGULAR,MOMENTUM ACADEMY,48328,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630395811,,
MOMMA BAIR'S DAYCARE,"310 COTTAGE ST                                  GOBLES , MI 49055
                                 Phone: (269) 366-8919",VAN BUREN,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF800393304,REGULAR,MICHELE BAIR,49055,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF800393304,,
MOMMA BAIR'S DAYCARE,"310 COTTAGE ST                                  GOBLES , MI 49055
                                 Phone: (269) 366-8919",VAN BUREN,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,4/20/2021,DG800403365,CLOSED,"BAIR, MICHELE",49055,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG800403365,,
MOMMA BEAR COUNTRY DAYCARE,"72 E YOUNGS COURT                                  MIDLAND , MI 48640
                                 Phone: (989) 621-3500",MIDLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,11/2/2021,DF560408106,CLOSED,"BASS, BRITTANY",48640,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF560408106,,
MOMMA BEAR DAYCARE,"4500 RIVES EATON ROAD                                  RIVES JUNCTION , MI 49277
                                 Phone: (989) 640-9015",JACKSON,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG380387569,REGULAR,"DAVIS, BRIANNA",49277,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG380387569,,
MOMMY & ME,"PO 542  7139 RIDGEVIEW DR                                                                GENESEE , MI 48437
                                 Phone: (810) 210-7525",GENESEE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,5/28/2021,DG250405290,CLOSED,"LEE, SHANIQUA",48437,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG250405290,,
MOMMY DAY CARE,"1321 SHERIDAN DR                                  KALAMAZOO , MI 49001
                                 Phone: (269) 491-8807",KALAMAZOO,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF390399604,REGULAR,"RECOCO, MA CHRISTINA",49001,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF390399604,,
MOMMY DAYCARE,"1665 RIBBLE ST                                  SAGINAW , MI 48601
                                 Phone: (989) 395-6410",SAGINAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,5/10/2021,DF730404498,CLOSED,"JONES, TAMEKA",48601,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF730404498,,
MOMMY RECHARGE,"3219 EASTERN AVE SUITE B                                  GRAND RAPIDS , MI 49508
                                 Phone: (616) 724-4366",KENT,CHILD CARE CENTER,37,ACTIVE,N/A,DC410409624,ORIGINAL,MOMMY RECHARGE,49508,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410409624,,
MOMMY'S PLACE CHILDCARE AND LEARNING CENTER,"SUITE 100  3710 DAVISON ROAD                                                                FLINT , MI 48506
                                 Phone: (810) 336-2529",GENESEE,CHILD CARE CENTER,20,CLOSED,2/12/2020,DC250398109,CLOSED,MOMMYS PLACE DAYCARE,48506,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250398109,,
MOMMYS HELPING HANDS PRESCHOOL,"326 W 4TH AVENUE                                  SAULT SAINTE MARIE , MI 49783
                                 Phone: (906) 322-4820",CHIPPEWA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/7/2022,DF170409576,CLOSED,"RAMBO, SUSAN",49783,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF170409576,,
MON AMI,"26998 WOODWARD                                  ROYAL OAK , MI 48067
                                 Phone: (248) 547-1380",OAKLAND,CHILD CARE CENTER,40,ACTIVE,N/A,DC630091616,REGULAR,MON AMI DAY CARE AND NURSERY SCHOOL INC.,48067,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630091616,,
MONA SHORES / ROSS PARK CHD CARE,"121 RANDALL ROAD                                  NORTON SHORES , MI 49441
                                 Phone: (231) 780-6720",MUSKEGON,CHILD CARE CENTER,179,ACTIVE,N/A,DC610020207,REGULAR,MONA SHORES PUBLIC SCHOOLS,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610020207,,
MONA SHORES AND CAMPBELL CHILDCARE,"1355 GREENWICH ROAD                                  NORTON SHORES , MI 49441
                                 Phone: (231) 780-6720",MUSKEGON,CHILD CARE CENTER,30,ACTIVE,N/A,DC610020206,REGULAR,MONA SHORES PUBLIC SCHOOLS,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610020206,,
MONA SHORES AND CHURCHILL CHILDCARE,"961 PORTER ROAD                                  NORTON SHORES , MI 49441
                                 Phone: (231) 780-6720",MUSKEGON,CHILD CARE CENTER,83,ACTIVE,N/A,DC610018747,REGULAR,MONA SHORES PUBLIC SCHOOLS,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610018747,,
MONA SHORES AND LINCOLN PARK CHDCARE,"2951 LEON STREET                                  NORTON SHORES , MI 49441
                                 Phone: (231) 780-6720",MUSKEGON,CHILD CARE CENTER,201,ACTIVE,N/A,DC610078223,REGULAR,MONA SHORES PUBLIC SCHOOLS,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610078223,,
MONA SHORES CHILD CARE - MIDDLE SCHOOL,"1700 WOODSIDE RD.                                  NORTON SHORES , MI 49441
                                 Phone: (231) 332-8655",MUSKEGON,CHILD CARE CENTER,150,CLOSED,9/15/2021,DC610407215,CLOSED,MONA SHORES PUBLIC SCHOOLS,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610407215,,
MONFORT ELEMENTARY,"6700 MONTGOMERY                                  SHELBY TWP , MI 48316
                                 Phone: (586) 797-5700",MACOMB,CHILD CARE CENTER,100,ACTIVE,N/A,DC500018446,REGULAR,UTICA COMMUNITY SCHOOLS,48316,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500018446,,
